,No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
26364,26365,2013,1,3,12,4,57.0,74.0,67.0,-4.0,55.91,1033.0,4.0,NE,14.0,0.0,0.0,2013-01-03,65.5
26365,26366,2013,1,3,13,4,51.0,74.0,57.0,-4.0,55.91,1031.0,4.0,NE,18.0,0.0,0.0,2013-01-03,62.5
26366,26367,2013,1,3,14,4,50.0,67.0,68.0,-5.0,51.84,1029.0,4.0,NE,23.0,0.0,0.0,2013-01-03,58.5
26367,26368,2013,1,3,15,4,53.0,77.0,70.0,-5.0,51.84,1028.0,4.0,NE,28.0,0.0,0.0,2013-01-03,65.0
26368,26369,2013,1,3,16,4,57.0,80.0,75.0,-3.0,64.66,1027.0,3.0,NE,32.0,0.0,0.0,2013-01-03,68.5
26369,26370,2013,1,3,17,4,56.0,78.0,75.0,-2.0,69.64,1027.0,3.0,NE,35.0,0.0,0.0,2013-01-03,67.0
26370,26371,2013,1,3,18,4,48.0,79.0,72.0,-2.0,69.64,1028.0,3.0,NE,38.0,0.0,0.0,2013-01-03,63.5
26371,26372,2013,1,3,19,4,53.0,79.0,78.0,-2.0,69.64,1028.0,3.0,NE,41.0,0.0,0.0,2013-01-03,66.0
26372,26373,2013,1,3,20,4,51.0,80.0,69.0,0.0,86.58,1029.0,2.0,NE,43.0,0.0,0.0,2013-01-03,65.5
26373,26374,2013,1,3,21,4,72.0,74.0,94.0,0.0,86.58,1029.0,2.0,NW,2.0,0.0,0.0,2013-01-03,73.0
26374,26375,2013,1,3,22,4,77.0,88.0,100.0,0.0,86.58,1029.0,2.0,cv,1.0,0.0,0.0,2013-01-03,82.5
26375,26376,2013,1,3,23,4,68.0,94.0,99.0,0.0,86.58,1030.0,2.0,NW,2.0,0.0,0.0,2013-01-03,81.0
26376,26377,2013,1,4,0,4,70.0,92.0,89.0,0.0,93.02,1029.0,1.0,cv,1.0,0.0,0.0,2013-01-04,81.0
26377,26378,2013,1,4,1,4,74.0,97.0,96.0,0.0,86.58,1028.0,2.0,cv,2.0,0.0,0.0,2013-01-04,85.5
26378,26379,2013,1,4,2,4,75.0,93.0,94.0,0.0,86.58,1028.0,2.0,NW,2.0,0.0,0.0,2013-01-04,84.0
26379,26380,2013,1,4,3,4,72.0,100.0,100.0,0.0,86.58,1027.0,2.0,cv,1.0,0.0,0.0,2013-01-04,86.0
26380,26381,2013,1,4,4,4,74.0,105.0,96.0,0.0,86.58,1027.0,2.0,cv,2.0,0.0,0.0,2013-01-04,89.5
26381,26382,2013,1,4,5,4,74.0,106.0,95.0,0.0,86.58,1026.0,2.0,cv,3.0,0.0,0.0,2013-01-04,90.0
26382,26383,2013,1,4,6,4,67.0,108.0,101.0,0.0,86.58,1026.0,2.0,cv,4.0,0.0,0.0,2013-01-04,87.5
26383,26384,2013,1,4,7,4,79.0,93.0,100.0,0.0,86.58,1026.0,2.0,cv,5.0,0.0,0.0,2013-01-04,86.0
26384,26385,2013,1,4,8,4,94.0,112.0,103.0,0.0,86.58,1026.0,2.0,cv,6.0,0.0,0.0,2013-01-04,103.0
26385,26386,2013,1,4,9,4,88.0,115.0,118.0,0.0,86.58,1026.0,2.0,NW,1.0,0.0,0.0,2013-01-04,101.5
26386,26387,2013,1,4,10,4,84.0,123.0,128.0,0.0,86.58,1026.0,2.0,cv,1.0,0.0,0.0,2013-01-04,103.5
26387,26388,2013,1,4,11,4,77.0,133.0,140.0,0.0,80.63,1026.0,3.0,cv,2.0,0.0,0.0,2013-01-04,105.0
26388,26389,2013,1,4,12,4,82.0,145.0,149.0,0.0,80.63,1025.0,3.0,cv,3.0,0.0,0.0,2013-01-04,113.5
26389,26390,2013,1,4,13,4,89.0,134.0,146.0,1.0,86.68,1023.0,3.0,cv,4.0,0.0,0.0,2013-01-04,111.5
26390,26391,2013,1,4,14,4,102.0,3.0,140.0,1.0,86.68,1022.0,3.0,SE,2.0,0.0,0.0,2013-01-04,52.5
26391,26392,2013,1,4,15,4,112.0,34.0,158.0,1.0,93.08,1021.0,2.0,SE,4.0,0.0,0.0,2013-01-04,73.0
26392,26393,2013,1,4,16,4,106.0,113.0,131.0,1.0,93.08,1020.0,2.0,SE,6.0,0.0,0.0,2013-01-04,109.5
26393,26394,2013,1,4,17,4,95.0,115.0,117.0,1.0,86.68,1020.0,3.0,cv,1.0,0.0,0.0,2013-01-04,105.0
26394,26395,2013,1,4,18,4,97.0,104.0,100.0,1.0,86.68,1021.0,3.0,cv,2.0,0.0,0.0,2013-01-04,100.5
26395,26396,2013,1,4,19,4,88.0,89.0,73.0,1.0,86.68,1022.0,3.0,cv,3.0,0.0,0.0,2013-01-04,88.5
26396,26397,2013,1,4,20,4,87.0,78.0,66.0,1.0,86.68,1023.0,3.0,NW,1.0,0.0,0.0,2013-01-04,82.5
26397,26398,2013,1,4,21,4,67.0,78.0,64.0,1.0,86.68,1023.0,3.0,cv,2.0,0.0,0.0,2013-01-04,72.5
26398,26399,2013,1,4,22,4,68.0,70.0,65.0,1.0,86.68,1023.0,3.0,NW,2.0,0.0,0.0,2013-01-04,69.0
26399,26400,2013,1,4,23,4,60.0,70.0,62.0,1.0,86.68,1024.0,3.0,NE,2.0,0.0,0.0,2013-01-04,65.0
26400,26401,2013,1,5,0,4,48.0,68.0,58.0,1.0,86.68,1024.0,3.0,cv,1.0,0.0,0.0,2013-01-05,58.0
26401,26402,2013,1,5,1,4,46.0,65.0,62.0,1.0,86.68,1023.0,3.0,NE,2.0,0.0,0.0,2013-01-05,55.5
26402,26403,2013,1,5,2,4,65.0,67.0,60.0,1.0,93.08,1023.0,2.0,cv,1.0,0.0,0.0,2013-01-05,66.0
26403,26404,2013,1,5,3,4,76.0,67.0,80.0,2.0,100.0,1023.0,2.0,cv,2.0,0.1,0.1,2013-01-05,71.5
26404,26405,2013,1,5,4,4,75.0,79.0,105.0,1.0,93.08,1023.0,2.0,cv,3.0,0.1,0.2,2013-01-05,77.0
26405,26406,2013,1,5,5,4,74.0,69.0,92.0,1.0,93.08,1022.0,2.0,cv,4.0,0.1,0.3,2013-01-05,71.5
26408,26409,2013,1,5,8,4,79.0,90.0,96.0,1.0,93.08,1023.0,2.0,NW,1.0,0.0,0.0,2013-01-05,84.5
26410,26411,2013,1,5,10,4,77.0,113.0,133.0,1.0,93.08,1024.0,2.0,NW,2.0,0.1,0.3,2013-01-05,95.0
26411,26412,2013,1,5,11,4,75.0,132.0,160.0,2.0,93.13,1024.0,3.0,cv,1.0,0.0,0.0,2013-01-05,103.5
26412,26413,2013,1,5,12,4,76.0,130.0,135.0,1.0,86.68,1023.0,3.0,NW,2.0,0.0,0.0,2013-01-05,103.0
26413,26414,2013,1,5,13,4,75.0,128.0,123.0,1.0,86.68,1022.0,3.0,NW,4.0,0.0,0.0,2013-01-05,101.5
26414,26415,2013,1,5,14,4,80.0,123.0,112.0,1.0,86.68,1022.0,3.0,NW,5.0,0.0,0.0,2013-01-05,101.5
26415,26416,2013,1,5,15,4,92.0,98.0,117.0,1.0,86.68,1021.0,3.0,NE,2.0,0.0,0.0,2013-01-05,95.0
26416,26417,2013,1,5,16,4,99.0,96.0,135.0,1.0,86.68,1021.0,3.0,NW,1.0,0.0,0.0,2013-01-05,97.5
26417,26418,2013,1,5,17,4,98.0,113.0,124.0,1.0,80.78,1021.0,4.0,cv,1.0,0.0,0.0,2013-01-05,105.5
26418,26419,2013,1,5,18,4,98.0,113.0,115.0,0.0,75.14,1023.0,4.0,NE,2.0,0.0,0.0,2013-01-05,105.5
26419,26420,2013,1,5,19,4,96.0,114.0,120.0,1.0,80.78,1024.0,4.0,SE,2.0,0.0,0.0,2013-01-05,105.0
26420,26421,2013,1,5,20,4,106.0,115.0,130.0,2.0,86.79,1025.0,4.0,cv,1.0,0.0,0.0,2013-01-05,110.5
26421,26422,2013,1,5,21,4,117.0,108.0,135.0,1.0,93.08,1026.0,2.0,SW,1.0,0.0,0.0,2013-01-05,112.5
26422,26423,2013,1,5,22,4,131.0,115.0,155.0,2.0,93.13,1026.0,3.0,cv,0.0,0.0,0.0,2013-01-05,123.0
26432,26433,2013,1,6,8,4,114.0,78.0,130.0,-2.0,100.0,1024.0,-2.0,cv,1.0,0.0,0.0,2013-01-06,96.0
26433,26434,2013,1,6,9,4,122.0,102.0,148.0,-1.0,100.0,1025.0,-1.0,cv,1.0,0.0,0.0,2013-01-06,112.0
26434,26435,2013,1,6,10,4,140.0,139.0,180.0,-1.0,100.0,1026.0,-1.0,SW,2.0,0.0,0.0,2013-01-06,139.5
26435,26436,2013,1,6,11,4,179.0,159.0,158.0,0.0,100.0,1025.0,0.0,cv,0.0,0.0,0.0,2013-01-06,169.0
26436,26437,2013,1,6,12,4,155.0,169.0,169.0,2.0,100.0,1024.0,2.0,cv,1.0,0.0,0.0,2013-01-06,162.0
26437,26438,2013,1,6,13,4,125.0,134.0,126.0,4.0,93.24,1023.0,5.0,cv,2.0,0.0,0.0,2013-01-06,129.5
26438,26439,2013,1,6,14,4,118.0,134.0,118.0,0.0,65.36,1021.0,6.0,cv,3.0,0.0,0.0,2013-01-06,126.0
26439,26440,2013,1,6,15,4,110.0,132.0,117.0,-1.0,56.72,1020.0,7.0,SE,2.0,0.0,0.0,2013-01-06,121.0
26440,26441,2013,1,6,16,4,91.0,105.0,75.0,-1.0,60.76,1020.0,6.0,NE,3.0,0.0,0.0,2013-01-06,98.0
26441,26442,2013,1,6,17,4,73.0,95.0,86.0,0.0,70.06,1021.0,5.0,NE,8.0,0.0,0.0,2013-01-06,84.0
26442,26443,2013,1,6,18,4,71.0,106.0,108.0,-1.0,65.13,1022.0,5.0,NE,10.0,0.0,0.0,2013-01-06,88.5
26443,26444,2013,1,6,19,4,82.0,111.0,99.0,-1.0,74.96,1023.0,3.0,cv,1.0,0.0,0.0,2013-01-06,96.5
26444,26445,2013,1,6,20,4,79.0,121.0,103.0,0.0,75.14,1023.0,4.0,cv,2.0,0.0,0.0,2013-01-06,100.0
26445,26446,2013,1,6,21,4,103.0,117.0,118.0,1.0,80.78,1024.0,4.0,cv,3.0,0.0,0.0,2013-01-06,110.0
26446,26447,2013,1,6,22,4,116.0,115.0,139.0,1.0,86.68,1025.0,3.0,cv,4.0,0.0,0.0,2013-01-06,115.5
26447,26448,2013,1,6,23,4,110.0,133.0,143.0,1.0,100.0,1025.0,1.0,cv,5.0,0.0,0.0,2013-01-06,121.5
26449,26450,2013,1,7,1,4,113.0,132.0,174.0,0.0,100.0,1025.0,0.0,SW,2.0,0.0,0.0,2013-01-07,122.5
26450,26451,2013,1,7,2,4,146.0,123.0,189.0,0.0,100.0,1024.0,0.0,SW,4.0,0.0,0.0,2013-01-07,134.5
26451,26452,2013,1,7,3,4,163.0,123.0,183.0,0.0,93.02,1024.0,1.0,SW,6.0,0.0,0.0,2013-01-07,143.0
26452,26453,2013,1,7,4,4,137.0,121.0,149.0,-1.0,92.96,1023.0,0.0,SW,7.0,0.0,0.0,2013-01-07,129.0
26453,26454,2013,1,7,5,4,122.0,117.0,156.0,0.0,100.0,1023.0,0.0,SE,2.0,0.0,0.0,2013-01-07,119.5
26454,26455,2013,1,7,6,4,116.0,81.0,157.0,-2.0,100.0,1023.0,-2.0,cv,1.0,0.0,0.0,2013-01-07,98.5
26455,26456,2013,1,7,7,4,117.0,70.0,155.0,-2.0,100.0,1023.0,-2.0,SE,1.0,0.0,0.0,2013-01-07,93.5
26456,26457,2013,1,7,8,4,129.0,87.0,174.0,-1.0,100.0,1023.0,-1.0,cv,0.0,0.0,0.0,2013-01-07,108.0
26457,26458,2013,1,7,9,4,122.0,89.0,175.0,-1.0,100.0,1024.0,-1.0,SE,1.0,0.0,0.0,2013-01-07,105.5
26460,26461,2013,1,7,12,4,193.0,199.0,194.0,1.0,93.08,1023.0,2.0,SE,2.0,0.0,0.0,2013-01-07,196.0
26461,26462,2013,1,7,13,4,184.0,196.0,178.0,3.0,93.19,1021.0,4.0,cv,2.0,0.0,0.0,2013-01-07,190.0
26462,26463,2013,1,7,14,4,147.0,175.0,164.0,3.0,81.06,1019.0,6.0,SE,2.0,0.0,0.0,2013-01-07,161.0
26463,26464,2013,1,7,15,4,113.0,147.0,133.0,-1.0,52.98,1019.0,8.0,cv,1.0,0.0,0.0,2013-01-07,130.0
26464,26465,2013,1,7,16,4,109.0,151.0,137.0,-1.0,52.98,1018.0,8.0,SE,2.0,0.0,0.0,2013-01-07,130.0
26465,26466,2013,1,7,17,4,112.0,147.0,148.0,-1.0,52.98,1019.0,8.0,cv,2.0,0.0,0.0,2013-01-07,129.5
26466,26467,2013,1,7,18,4,120.0,157.0,143.0,0.0,61.01,1019.0,7.0,SE,2.0,0.0,0.0,2013-01-07,138.5
26468,26469,2013,1,7,20,4,113.0,168.0,133.0,0.0,70.06,1021.0,5.0,SW,2.0,0.0,0.0,2013-01-07,140.5
26469,26470,2013,1,7,21,4,120.0,164.0,143.0,1.0,86.68,1022.0,3.0,cv,0.0,0.0,0.0,2013-01-07,142.0
26470,26471,2013,1,7,22,4,135.0,162.0,151.0,0.0,80.63,1022.0,3.0,cv,1.0,0.0,0.0,2013-01-07,148.5
26471,26472,2013,1,7,23,4,117.0,175.0,169.0,0.0,86.58,1023.0,2.0,cv,2.0,0.0,0.0,2013-01-07,146.0
26472,26473,2013,1,8,0,4,176.0,185.0,191.0,0.0,93.02,1024.0,1.0,cv,2.0,0.0,0.0,2013-01-08,180.5
26474,26475,2013,1,8,2,4,260.0,229.0,221.0,1.0,100.0,1024.0,1.0,cv,0.0,0.0,0.0,2013-01-08,244.5
26475,26476,2013,1,8,3,4,277.0,215.0,206.0,1.0,100.0,1023.0,1.0,SW,1.0,0.0,0.0,2013-01-08,246.0
26476,26477,2013,1,8,4,4,285.0,211.0,219.0,0.0,100.0,1023.0,0.0,SW,2.0,0.0,0.0,2013-01-08,248.0
26477,26478,2013,1,8,5,4,280.0,225.0,227.0,-1.0,100.0,1023.0,-1.0,SW,3.0,0.0,0.0,2013-01-08,252.5
26478,26479,2013,1,8,6,4,278.0,259.0,236.0,-1.0,100.0,1023.0,-1.0,SW,4.0,0.0,0.0,2013-01-08,268.5
26479,26480,2013,1,8,7,4,276.0,284.0,,-2.0,100.0,1023.0,-2.0,cv,0.0,0.0,0.0,2013-01-08,280.0
26480,26481,2013,1,8,8,4,276.0,255.0,,-1.0,100.0,1024.0,-1.0,cv,1.0,0.0,0.0,2013-01-08,265.5
26482,26483,2013,1,8,10,4,304.0,299.0,,1.0,100.0,1026.0,1.0,SW,2.0,0.0,0.0,2013-01-08,301.5
26484,26485,2013,1,8,12,4,187.0,192.0,171.0,2.0,75.49,1025.0,6.0,SW,2.0,0.0,0.0,2013-01-08,189.5
26485,26486,2013,1,8,13,4,177.0,179.0,196.0,0.0,56.99,1024.0,8.0,cv,1.0,0.0,0.0,2013-01-08,178.0
26486,26487,2013,1,8,14,4,142.0,182.0,182.0,0.0,53.26,1023.0,9.0,cv,3.0,0.0,0.0,2013-01-08,162.0
26487,26488,2013,1,8,15,4,154.0,193.0,156.0,-1.0,49.51,1022.0,9.0,SW,2.0,0.0,0.0,2013-01-08,173.5
26488,26489,2013,1,8,16,4,140.0,184.0,143.0,-1.0,46.29,1022.0,10.0,cv,1.0,0.0,0.0,2013-01-08,162.0
26490,26491,2013,1,8,18,4,135.0,181.0,158.0,-1.0,56.72,1023.0,7.0,cv,0.0,0.0,0.0,2013-01-08,158.0
26491,26492,2013,1,8,19,4,147.0,196.0,174.0,-1.0,65.13,1024.0,5.0,SW,1.0,0.0,0.0,2013-01-08,171.5
26492,26493,2013,1,8,20,4,205.0,206.0,162.0,2.0,86.79,1026.0,4.0,NW,1.0,0.0,0.0,2013-01-08,205.5
26493,26494,2013,1,8,21,4,258.0,207.0,180.0,0.0,70.06,1027.0,5.0,cv,0.0,0.0,0.0,2013-01-08,232.5
26494,26495,2013,1,8,22,4,260.0,201.0,180.0,2.0,80.92,1027.0,5.0,cv,0.0,0.0,0.0,2013-01-08,230.5
26495,26496,2013,1,8,23,4,305.0,204.0,186.0,2.0,80.92,1028.0,5.0,cv,0.0,0.0,0.0,2013-01-08,254.5
26496,26497,2013,1,9,0,4,298.0,230.0,193.0,3.0,93.19,1028.0,4.0,cv,0.0,0.0,0.0,2013-01-09,264.0
26497,26498,2013,1,9,1,4,261.0,261.0,209.0,2.0,86.79,1028.0,4.0,SW,1.0,0.0,0.0,2013-01-09,261.0
26498,26499,2013,1,9,2,4,310.0,225.0,220.0,2.0,86.79,1028.0,4.0,cv,1.0,0.0,0.0,2013-01-09,267.5
26499,26500,2013,1,9,3,4,317.0,218.0,227.0,2.0,86.79,1028.0,4.0,cv,1.0,0.0,0.0,2013-01-09,267.5
26501,26502,2013,1,9,5,4,289.0,181.0,225.0,1.0,100.0,1027.0,1.0,cv,2.0,0.0,0.0,2013-01-09,235.0
26502,26503,2013,1,9,6,4,293.0,173.0,227.0,0.0,93.02,1026.0,1.0,NE,1.0,0.0,0.0,2013-01-09,233.0
26503,26504,2013,1,9,7,4,274.0,176.0,219.0,0.0,100.0,1026.0,0.0,cv,0.0,0.0,0.0,2013-01-09,225.0
26505,26506,2013,1,9,9,4,341.0,215.0,247.0,0.0,100.0,1027.0,0.0,SW,3.0,0.0,0.0,2013-01-09,278.0
26506,26507,2013,1,9,10,4,396.0,218.0,,2.0,100.0,1028.0,2.0,cv,0.0,0.0,0.0,2013-01-09,307.0
26507,26508,2013,1,9,11,4,412.0,232.0,280.0,4.0,93.24,1027.0,5.0,cv,0.0,0.0,0.0,2013-01-09,322.0
26509,26510,2013,1,9,13,4,184.0,208.0,190.0,1.0,57.25,1024.0,9.0,SE,4.0,0.0,0.0,2013-01-09,196.0
26511,26512,2013,1,9,15,4,144.0,194.0,143.0,-1.0,46.29,1022.0,10.0,cv,2.0,0.0,0.0,2013-01-09,169.0
26512,26513,2013,1,9,16,4,130.0,154.0,145.0,-1.0,46.29,1022.0,10.0,NE,2.0,0.0,0.0,2013-01-09,142.0
26515,26516,2013,1,9,19,4,100.0,132.0,137.0,-1.0,52.98,1023.0,8.0,NE,5.0,0.0,0.0,2013-01-09,116.0
26516,26517,2013,1,9,20,4,103.0,152.0,140.0,-1.0,56.72,1024.0,7.0,NE,7.0,0.0,0.0,2013-01-09,127.5
26517,26518,2013,1,9,21,4,109.0,175.0,143.0,-1.0,56.72,1025.0,7.0,NE,9.0,0.0,0.0,2013-01-09,142.0
26518,26519,2013,1,9,22,4,114.0,185.0,145.0,-1.0,56.72,1025.0,7.0,NE,11.0,0.0,0.0,2013-01-09,149.5
26519,26520,2013,1,9,23,4,117.0,174.0,139.0,0.0,61.01,1026.0,7.0,NE,14.0,0.0,0.0,2013-01-09,145.5
26520,26521,2013,1,10,0,4,136.0,169.0,140.0,1.0,75.32,1026.0,5.0,NW,1.0,0.0,0.0,2013-01-10,152.5
26521,26522,2013,1,10,1,4,153.0,158.0,159.0,1.0,75.32,1026.0,5.0,cv,1.0,0.0,0.0,2013-01-10,155.5
26522,26523,2013,1,10,2,4,164.0,175.0,174.0,3.0,86.89,1025.0,5.0,cv,2.0,0.0,0.0,2013-01-10,169.5
26523,26524,2013,1,10,3,4,151.0,189.0,169.0,3.0,86.89,1025.0,5.0,NW,1.0,0.0,0.0,2013-01-10,170.0
26524,26525,2013,1,10,4,4,156.0,198.0,162.0,3.0,86.89,1024.0,5.0,NW,2.0,0.0,0.0,2013-01-10,177.0
26525,26526,2013,1,10,5,4,155.0,204.0,178.0,3.0,93.19,1023.0,4.0,NE,1.0,0.0,0.0,2013-01-10,179.5
