,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
27922,27923,2013,3,9,10,1,94.0,57.0,62.0,33.0,-3.0,32.0,1002.0,13.0,NE,3.13,0.0,0.0,2013-03-09,71.0
27923,27924,2013,3,9,11,1,77.0,49.0,62.0,42.0,-11.0,12.0,1004.0,18.0,NW,16.99,0.0,0.0,2013-03-09,62.67
27924,27925,2013,3,9,12,1,43.0,59.0,45.0,32.0,-16.0,10.0,1007.0,15.0,NW,33.08,0.0,0.0,2013-03-09,49.0
27925,27926,2013,3,9,13,1,42.0,52.0,47.0,40.0,-20.0,7.0,1009.0,14.0,NW,49.17,0.0,0.0,2013-03-09,47.0
27926,27927,2013,3,9,14,1,38.0,39.0,36.0,32.0,-21.0,8.0,1012.0,11.0,NW,64.37,0.0,0.0,2013-03-09,37.67
27927,27928,2013,3,9,15,1,22.0,27.0,15.0,19.0,-22.0,8.0,1014.0,10.0,NW,76.44,0.0,0.0,2013-03-09,21.33
27928,27929,2013,3,9,16,1,17.0,16.0,15.0,16.0,-22.0,8.0,1015.0,10.0,NW,86.27,0.0,0.0,2013-03-09,16.0
27929,27930,2013,3,9,17,1,23.0,10.0,12.0,13.0,-22.0,8.0,1017.0,10.0,NW,94.32,0.0,0.0,2013-03-09,15.0
27930,27931,2013,3,9,18,1,13.0,10.0,12.0,16.0,-22.0,9.0,1018.0,9.0,NW,103.26,0.0,0.0,2013-03-09,11.67
27931,27932,2013,3,9,19,1,13.0,9.0,14.0,12.0,-22.0,10.0,1022.0,7.0,NW,113.09,0.0,0.0,2013-03-09,12.0
27932,27933,2013,3,9,20,1,12.0,11.0,12.0,10.0,-21.0,12.0,1023.0,6.0,NW,122.03,0.0,0.0,2013-03-09,11.67
27933,27934,2013,3,9,21,1,9.0,9.0,14.0,18.0,-21.0,13.0,1025.0,5.0,NW,134.1,0.0,0.0,2013-03-09,10.67
27934,27935,2013,3,9,22,1,9.0,8.0,9.0,12.0,-21.0,13.0,1026.0,5.0,NW,143.04,0.0,0.0,2013-03-09,8.67
27935,27936,2013,3,9,23,1,13.0,15.0,3.0,12.0,-21.0,14.0,1027.0,4.0,NW,148.85,0.0,0.0,2013-03-09,10.33
27936,27937,2013,3,10,0,1,3.0,15.0,3.0,15.0,-19.0,19.0,1027.0,2.0,NE,1.79,0.0,0.0,2013-03-10,7.0
27937,27938,2013,3,10,1,1,3.0,19.0,14.0,18.0,-15.0,31.0,1027.0,0.0,SE,3.13,0.0,0.0,2013-03-10,12.0
27938,27939,2013,3,10,2,1,13.0,27.0,16.0,20.0,-13.0,42.0,1027.0,-2.0,SE,4.92,0.0,0.0,2013-03-10,18.67
27939,27940,2013,3,10,3,1,3.0,43.0,6.0,18.0,-16.0,26.0,1027.0,1.0,cv,0.89,0.0,0.0,2013-03-10,17.33
27940,27941,2013,3,10,4,1,18.0,44.0,26.0,22.0,-12.0,53.0,1027.0,-4.0,NE,0.89,0.0,0.0,2013-03-10,29.33
27941,27942,2013,3,10,5,1,22.0,43.0,23.0,27.0,-13.0,42.0,1028.0,-2.0,cv,0.89,0.0,0.0,2013-03-10,29.33
27942,27943,2013,3,10,6,1,29.0,39.0,25.0,26.0,-10.0,62.0,1028.0,-4.0,cv,1.78,0.0,0.0,2013-03-10,31.0
27943,27944,2013,3,10,7,1,29.0,32.0,29.0,27.0,-10.0,62.0,1028.0,-4.0,cv,2.67,0.0,0.0,2013-03-10,30.0
27944,27945,2013,3,10,8,1,29.0,24.0,26.0,29.0,-11.0,40.0,1029.0,1.0,SE,1.79,0.0,0.0,2013-03-10,26.33
27945,27946,2013,3,10,9,1,25.0,24.0,27.0,27.0,-19.0,13.0,1029.0,7.0,SE,5.81,0.0,0.0,2013-03-10,25.33
27946,27947,2013,3,10,10,1,31.0,32.0,36.0,33.0,-19.0,12.0,1029.0,8.0,SE,10.73,0.0,0.0,2013-03-10,33.0
27947,27948,2013,3,10,11,1,28.0,26.0,36.0,32.0,-21.0,9.0,1028.0,10.0,SE,15.65,0.0,0.0,2013-03-10,30.0
27948,27949,2013,3,10,12,1,35.0,29.0,32.0,33.0,-20.0,10.0,1028.0,10.0,SE,19.67,0.0,0.0,2013-03-10,32.0
27949,27950,2013,3,10,13,1,35.0,33.0,32.0,35.0,-22.0,8.0,1026.0,11.0,SE,23.69,0.0,0.0,2013-03-10,33.33
27950,27951,2013,3,10,14,1,42.0,35.0,32.0,33.0,-20.0,8.0,1025.0,12.0,SE,28.61,0.0,0.0,2013-03-10,36.33
27951,27952,2013,3,10,15,1,40.0,34.0,38.0,37.0,-20.0,8.0,1024.0,12.0,SE,33.53,0.0,0.0,2013-03-10,37.33
27952,27953,2013,3,10,16,1,45.0,44.0,41.0,42.0,-19.0,9.0,1024.0,12.0,SE,39.34,0.0,0.0,2013-03-10,43.33
27953,27954,2013,3,10,17,1,50.0,47.0,52.0,59.0,-18.0,11.0,1024.0,11.0,SE,45.15,0.0,0.0,2013-03-10,49.67
27954,27955,2013,3,10,18,1,60.0,57.0,60.0,67.0,-16.0,15.0,1024.0,9.0,SE,50.07,0.0,0.0,2013-03-10,59.0
27955,27956,2013,3,10,19,1,74.0,72.0,74.0,80.0,-15.0,17.0,1024.0,8.0,SE,53.2,0.0,0.0,2013-03-10,73.33
27956,27957,2013,3,10,20,1,78.0,63.0,73.0,75.0,-14.0,22.0,1025.0,6.0,SE,54.99,0.0,0.0,2013-03-10,71.33
27957,27958,2013,3,10,21,1,81.0,85.0,78.0,87.0,-12.0,30.0,1025.0,4.0,SE,56.78,0.0,0.0,2013-03-10,81.33
27958,27959,2013,3,10,22,1,86.0,76.0,79.0,88.0,-12.0,27.0,1025.0,5.0,SE,58.57,0.0,0.0,2013-03-10,80.33
27959,27960,2013,3,10,23,1,92.0,71.0,79.0,81.0,-11.0,37.0,1025.0,2.0,SE,60.36,0.0,0.0,2013-03-10,80.67
27960,27961,2013,3,11,0,1,103.0,83.0,91.0,106.0,-11.0,34.0,1025.0,3.0,SE,62.15,0.0,0.0,2013-03-11,92.33
27961,27962,2013,3,11,1,1,104.0,95.0,94.0,103.0,-10.0,43.0,1024.0,1.0,SE,65.28,0.0,0.0,2013-03-11,97.67
27962,27963,2013,3,11,2,1,105.0,106.0,101.0,118.0,-10.0,43.0,1024.0,1.0,cv,0.89,0.0,0.0,2013-03-11,104.0
27963,27964,2013,3,11,3,1,104.0,99.0,99.0,111.0,-9.0,50.0,1023.0,0.0,cv,1.78,0.0,0.0,2013-03-11,100.67
27964,27965,2013,3,11,4,1,106.0,94.0,93.0,110.0,-8.0,58.0,1023.0,-1.0,SE,0.89,0.0,0.0,2013-03-11,97.67
27965,27966,2013,3,11,5,1,99.0,95.0,88.0,102.0,-8.0,58.0,1023.0,-1.0,SE,2.68,0.0,0.0,2013-03-11,94.0
27966,27967,2013,3,11,6,1,83.0,95.0,87.0,94.0,-8.0,58.0,1023.0,-1.0,cv,0.89,0.0,0.0,2013-03-11,88.33
27967,27968,2013,3,11,7,1,98.0,108.0,94.0,105.0,-6.0,68.0,1023.0,-1.0,cv,1.78,0.0,0.0,2013-03-11,100.0
27968,27969,2013,3,11,8,1,102.0,108.0,104.0,122.0,-7.0,47.0,1023.0,3.0,SE,1.79,0.0,0.0,2013-03-11,104.67
27969,27970,2013,3,11,9,1,118.0,130.0,116.0,155.0,-8.0,41.0,1023.0,4.0,SE,3.58,0.0,0.0,2013-03-11,121.33
27970,27971,2013,3,11,10,1,119.0,136.0,131.0,150.0,-8.0,35.0,1022.0,6.0,SE,6.71,0.0,0.0,2013-03-11,128.67
27971,27972,2013,3,11,11,1,3.0,146.0,148.0,156.0,-9.0,30.0,1022.0,7.0,SE,8.5,0.0,0.0,2013-03-11,99.0
27972,27973,2013,3,11,12,1,89.0,130.0,134.0,134.0,-9.0,28.0,1021.0,8.0,SE,11.63,0.0,0.0,2013-03-11,117.67
27973,27974,2013,3,11,13,1,121.0,130.0,105.0,114.0,-9.0,26.0,1019.0,9.0,SE,13.42,0.0,0.0,2013-03-11,118.67
27974,27975,2013,3,11,14,1,106.0,101.0,108.0,114.0,-9.0,23.0,1018.0,11.0,SE,19.23,0.0,0.0,2013-03-11,105.0
27975,27976,2013,3,11,15,1,114.0,113.0,110.0,120.0,-8.0,23.0,1017.0,12.0,SE,24.15,0.0,0.0,2013-03-11,112.33
27976,27977,2013,3,11,16,1,140.0,133.0,130.0,153.0,-9.0,22.0,1016.0,12.0,SE,29.07,0.0,0.0,2013-03-11,134.33
27977,27978,2013,3,11,17,1,141.0,136.0,137.0,148.0,-6.0,29.0,1015.0,11.0,SE,33.09,0.0,0.0,2013-03-11,138.0
27978,27979,2013,3,11,18,1,150.0,136.0,145.0,162.0,-4.0,39.0,1016.0,9.0,SE,34.88,0.0,0.0,2013-03-11,143.67
27979,27980,2013,3,11,19,1,165.0,163.0,154.0,164.0,-4.0,39.0,1016.0,9.0,SE,36.67,0.0,0.0,2013-03-11,160.67
27980,27981,2013,3,11,20,1,178.0,154.0,151.0,158.0,-3.0,42.0,1016.0,9.0,SE,37.56,0.0,0.0,2013-03-11,161.0
27981,27982,2013,3,11,21,1,136.0,127.0,115.0,117.0,-3.0,45.0,1016.0,8.0,SE,39.35,0.0,0.0,2013-03-11,126.0
27982,27983,2013,3,11,22,1,103.0,121.0,99.0,108.0,-4.0,39.0,1016.0,9.0,SE,42.48,0.0,0.0,2013-03-11,107.67
27983,27984,2013,3,11,23,1,98.0,116.0,109.0,114.0,-4.0,42.0,1015.0,8.0,SE,44.27,0.0,0.0,2013-03-11,107.67
27984,27985,2013,3,12,0,1,115.0,128.0,122.0,135.0,-4.0,42.0,1014.0,8.0,SE,46.06,0.0,0.0,2013-03-12,121.67
27985,27986,2013,3,12,1,1,125.0,132.0,123.0,131.0,-3.0,52.0,1013.0,6.0,SE,47.85,0.0,0.0,2013-03-12,126.67
27986,27987,2013,3,12,2,1,120.0,126.0,123.0,135.0,-3.0,52.0,1013.0,6.0,cv,0.89,0.0,0.0,2013-03-12,123.0
27987,27988,2013,3,12,3,1,113.0,138.0,128.0,137.0,-2.0,56.0,1012.0,6.0,cv,1.78,0.0,0.0,2013-03-12,126.33
27988,27989,2013,3,12,4,1,131.0,130.0,125.0,150.0,-1.0,65.0,1012.0,5.0,cv,2.67,0.5,0.5,2013-03-12,128.67
27989,27990,2013,3,12,5,1,133.0,141.0,134.0,153.0,0.0,75.0,1012.0,4.0,NE,0.89,0.3,0.8,2013-03-12,136.0
27990,27991,2013,3,12,6,1,124.0,140.0,107.0,145.0,1.0,86.0,1012.0,3.0,SE,1.79,1.0,1.8,2013-03-12,123.67
27991,27992,2013,3,12,7,1,116.0,123.0,116.0,127.0,1.0,86.0,1012.0,3.0,cv,0.89,2.6,4.4,2013-03-12,118.33
27992,27993,2013,3,12,8,1,117.0,116.0,114.0,130.0,1.0,86.0,1012.0,3.0,cv,1.34,0.3,4.7,2013-03-12,115.67
27993,27994,2013,3,12,9,1,110.0,133.0,101.0,161.0,2.0,93.0,1013.0,3.0,cv,2.23,0.1,4.8,2013-03-12,114.67
27994,27995,2013,3,12,10,1,146.0,148.0,122.0,164.0,2.0,93.0,1012.0,3.0,NW,1.79,0.2,5.0,2013-03-12,138.67
27995,27996,2013,3,12,11,1,158.0,153.0,125.0,167.0,2.0,86.0,1012.0,4.0,cv,0.89,0.1,5.1,2013-03-12,145.33
27996,27997,2013,3,12,12,1,151.0,151.0,148.0,148.0,3.0,93.0,1012.0,4.0,NW,0.89,0.1,5.2,2013-03-12,150.0
27997,27998,2013,3,12,13,1,134.0,140.0,137.0,153.0,3.0,86.0,1012.0,5.0,NW,4.02,0.0,0.0,2013-03-12,137.0
27998,27999,2013,3,12,14,1,134.0,119.0,123.0,147.0,3.0,86.0,1013.0,5.0,NW,7.15,0.0,0.0,2013-03-12,125.33
27999,28000,2013,3,12,15,1,136.0,132.0,108.0,150.0,3.0,81.0,1013.0,6.0,NW,8.94,0.0,0.0,2013-03-12,125.33
28000,28001,2013,3,12,16,1,138.0,137.0,134.0,152.0,4.0,86.0,1013.0,6.0,cv,0.89,0.1,0.1,2013-03-12,136.33
28001,28002,2013,3,12,17,1,123.0,144.0,140.0,164.0,4.0,81.0,1014.0,7.0,NW,3.13,0.0,0.0,2013-03-12,135.67
28002,28003,2013,3,12,18,1,123.0,149.0,142.0,159.0,3.0,81.0,1015.0,6.0,NW,6.26,0.0,0.0,2013-03-12,138.0
28003,28004,2013,3,12,19,1,140.0,181.0,130.0,176.0,2.0,80.0,1017.0,5.0,NW,9.39,0.0,0.0,2013-03-12,150.33
28004,28005,2013,3,12,20,1,133.0,182.0,166.0,174.0,3.0,86.0,1019.0,5.0,cv,0.89,0.0,0.0,2013-03-12,160.33
28005,28006,2013,3,12,21,1,123.0,173.0,163.0,194.0,2.0,93.0,1020.0,3.0,cv,1.78,0.0,0.0,2013-03-12,153.0
28006,28007,2013,3,12,22,1,101.0,127.0,128.0,114.0,2.0,75.0,1021.0,6.0,SE,1.79,0.0,0.0,2013-03-12,118.67
28007,28008,2013,3,12,23,1,38.0,74.0,83.0,67.0,1.0,86.0,1022.0,3.0,cv,0.89,0.0,0.0,2013-03-12,65.0
