,No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
26358,26359,2013,1,3,6,4,25.0,,11.0,-28.0,63.39,1040.0,-23.0,SW,2.0,0.0,0.0,2013-01-03,18.0
26359,26360,2013,1,3,7,4,31.0,,14.0,-28.0,63.39,1040.0,-23.0,SE,1.0,0.0,0.0,2013-01-03,22.5
26360,26361,2013,1,3,8,4,40.0,,25.0,-27.0,63.66,1041.0,-22.0,SE,3.0,0.0,0.0,2013-01-03,32.5
26361,26362,2013,1,3,9,4,43.0,,89.0,-25.0,58.89,1041.0,-19.0,SE,5.0,0.0,0.0,2013-01-03,66.0
26362,26363,2013,1,3,10,4,37.0,,25.0,-24.0,54.37,1041.0,-17.0,SE,7.0,0.0,0.0,2013-01-03,31.0
26363,26364,2013,1,3,11,4,40.0,,26.0,-24.0,46.01,1041.0,-15.0,SW,2.0,0.0,0.0,2013-01-03,33.0
26364,26365,2013,1,3,12,4,51.0,,46.0,-24.0,42.37,1040.0,-14.0,SW,5.0,0.0,0.0,2013-01-03,48.5
26365,26366,2013,1,3,13,4,58.0,,102.0,-23.0,42.7,1039.0,-13.0,SW,8.0,0.0,0.0,2013-01-03,80.0
26366,26367,2013,1,3,14,4,54.0,,112.0,-24.0,39.05,1039.0,-13.0,SW,11.0,0.0,0.0,2013-01-03,83.0
26367,26368,2013,1,3,15,4,68.0,,97.0,-23.0,42.7,1039.0,-13.0,SW,13.0,0.0,0.0,2013-01-03,82.5
26368,26369,2013,1,3,16,4,98.0,,94.0,-23.0,46.33,1039.0,-14.0,SW,15.0,0.0,0.0,2013-01-03,96.0
26369,26370,2013,1,3,17,4,117.0,,73.0,-24.0,46.01,1038.0,-15.0,SE,2.0,0.0,0.0,2013-01-03,95.0
26370,26371,2013,1,3,18,4,104.0,,80.0,-24.0,54.37,1038.0,-17.0,SE,4.0,0.0,0.0,2013-01-03,92.0
26371,26372,2013,1,3,19,4,97.0,,81.0,-24.0,50.0,1038.0,-16.0,SE,7.0,0.0,0.0,2013-01-03,89.0
26372,26373,2013,1,3,20,4,102.0,,190.0,-26.0,53.76,1038.0,-19.0,SE,9.0,0.0,0.0,2013-01-03,146.0
26373,26374,2013,1,3,21,4,93.0,,190.0,-25.0,64.19,1038.0,-20.0,SE,11.0,0.0,0.0,2013-01-03,141.5
26374,26375,2013,1,3,22,4,91.0,,167.0,-25.0,64.19,1038.0,-20.0,SE,13.0,0.0,0.0,2013-01-03,129.0
26375,26376,2013,1,3,23,4,83.0,,156.0,-25.0,58.89,1037.0,-19.0,SE,16.0,0.0,0.0,2013-01-03,119.5
26376,26377,2013,1,4,0,4,74.0,,164.0,-26.0,63.93,1036.0,-21.0,SE,18.0,0.0,0.0,2013-01-04,119.0
26377,26378,2013,1,4,1,4,65.0,,191.0,-26.0,63.93,1036.0,-21.0,SE,20.0,0.0,0.0,2013-01-04,128.0
26378,26379,2013,1,4,2,4,76.0,,217.0,-24.0,64.46,1036.0,-19.0,SE,22.0,0.0,0.0,2013-01-04,146.5
26379,26380,2013,1,4,3,4,133.0,,235.0,-25.0,70.03,1035.0,-21.0,cv,2.0,0.0,0.0,2013-01-04,184.0
26380,26381,2013,1,4,4,4,222.0,,226.0,-27.0,69.56,1035.0,-23.0,SE,1.0,0.0,0.0,2013-01-04,224.0
26381,26382,2013,1,4,5,4,267.0,,227.0,-26.0,69.79,1034.0,-22.0,SE,3.0,0.0,0.0,2013-01-04,247.0
26382,26383,2013,1,4,6,4,295.0,,241.0,-25.0,64.19,1034.0,-20.0,SE,5.0,0.0,0.0,2013-01-04,268.0
26383,26384,2013,1,4,7,4,314.0,,286.0,-24.0,64.46,1034.0,-19.0,SE,8.0,0.0,0.0,2013-01-04,300.0
26384,26385,2013,1,4,8,4,351.0,,329.0,-23.0,64.72,1033.0,-18.0,SE,11.0,0.0,0.0,2013-01-04,340.0
26385,26386,2013,1,4,9,4,323.0,,337.0,-22.0,59.74,1033.0,-16.0,SE,15.0,0.0,0.0,2013-01-04,330.0
26386,26387,2013,1,4,10,4,382.0,,367.0,-20.0,55.57,1032.0,-13.0,SE,18.0,0.0,0.0,2013-01-04,374.5
26387,26388,2013,1,4,11,4,272.0,,337.0,-19.0,51.56,1031.0,-11.0,SE,21.0,0.0,0.0,2013-01-04,304.5
26388,26389,2013,1,4,12,4,142.0,,210.0,-17.0,48.25,1029.0,-8.0,SE,23.0,0.0,0.0,2013-01-04,176.0
26389,26390,2013,1,4,13,4,88.0,,71.0,-17.0,44.65,1028.0,-7.0,SW,3.0,0.0,0.0,2013-01-04,79.5
26390,26391,2013,1,4,14,4,56.0,,46.0,-18.0,37.99,1028.0,-6.0,SW,6.0,0.0,0.0,2013-01-04,51.0
26391,26392,2013,1,4,15,4,66.0,,47.0,-18.0,37.99,1027.0,-6.0,SW,8.0,0.0,0.0,2013-01-04,56.5
26392,26393,2013,1,4,16,4,89.0,,55.0,-17.0,44.65,1026.0,-7.0,SW,10.0,0.0,0.0,2013-01-04,72.0
26393,26394,2013,1,4,17,4,132.0,,87.0,-14.0,61.92,1026.0,-8.0,SW,13.0,0.0,0.0,2013-01-04,109.5
26394,26395,2013,1,4,18,4,137.0,,108.0,-14.0,66.95,1026.0,-9.0,SE,2.0,0.0,0.0,2013-01-04,122.5
26395,26396,2013,1,4,19,4,118.0,,74.0,-15.0,66.71,1025.0,-10.0,SE,4.0,0.0,0.0,2013-01-04,96.0
26396,26397,2013,1,4,20,4,82.0,,64.0,-17.0,61.12,1025.0,-11.0,SE,6.0,0.0,0.0,2013-01-04,73.0
26397,26398,2013,1,4,21,4,67.0,,53.0,-18.0,56.16,1025.0,-11.0,SE,9.0,0.0,0.0,2013-01-04,60.0
26398,26399,2013,1,4,22,4,63.0,,46.0,-17.0,56.45,1025.0,-10.0,SE,12.0,0.0,0.0,2013-01-04,54.5
26399,26400,2013,1,4,23,4,63.0,,47.0,-17.0,61.12,1025.0,-11.0,SE,15.0,0.0,0.0,2013-01-04,55.0
26400,26401,2013,1,5,0,4,66.0,,48.0,-17.0,61.12,1024.0,-11.0,SE,18.0,0.0,0.0,2013-01-05,57.0
26401,26402,2013,1,5,1,4,69.0,,52.0,-17.0,61.12,1024.0,-11.0,SE,21.0,0.0,0.0,2013-01-05,60.5
26402,26403,2013,1,5,2,4,80.0,,61.0,-16.0,66.47,1024.0,-11.0,SE,24.0,0.0,0.0,2013-01-05,70.5
26403,26404,2013,1,5,3,4,95.0,,71.0,-18.0,65.98,1024.0,-13.0,SE,25.0,0.0,0.0,2013-01-05,83.0
26404,26405,2013,1,5,4,4,127.0,,96.0,-20.0,71.16,1024.0,-16.0,cv,1.0,0.0,0.0,2013-01-05,111.5
26405,26406,2013,1,5,5,4,162.0,,123.0,-21.0,77.21,1024.0,-18.0,cv,2.0,0.0,0.0,2013-01-05,142.5
26408,26409,2013,1,5,8,4,82.0,,66.0,-20.0,84.23,1026.0,-18.0,SW,2.0,0.0,0.0,2013-01-05,74.0
26410,26411,2013,1,5,10,4,90.0,,48.0,-16.0,72.02,1028.0,-12.0,SW,5.0,0.0,0.0,2013-01-05,69.0
26411,26412,2013,1,5,11,4,43.0,,54.0,-18.0,56.16,1027.0,-11.0,SW,7.0,0.0,0.0,2013-01-05,48.5
26412,26413,2013,1,5,12,4,43.0,,48.0,-17.0,52.17,1027.0,-9.0,SW,10.0,0.0,0.0,2013-01-05,45.5
26413,26414,2013,1,5,13,4,36.0,,39.0,-17.0,44.65,1026.0,-7.0,SW,11.0,0.0,0.0,2013-01-05,37.5
26414,26415,2013,1,5,14,4,30.0,,36.0,-18.0,44.33,1026.0,-8.0,NW,3.0,0.0,0.0,2013-01-05,33.0
26415,26416,2013,1,5,15,4,27.0,,30.0,-18.0,44.33,1027.0,-8.0,NW,5.0,0.0,0.0,2013-01-05,28.5
26416,26417,2013,1,5,16,4,41.0,,30.0,-18.0,47.93,1027.0,-9.0,SE,2.0,0.0,0.0,2013-01-05,35.5
26417,26418,2013,1,5,17,4,82.0,,50.0,-19.0,55.87,1028.0,-12.0,SW,2.0,0.0,0.0,2013-01-05,66.0
26418,26419,2013,1,5,18,4,61.0,,61.0,-19.0,60.58,1028.0,-13.0,SW,3.0,0.0,0.0,2013-01-05,61.0
26419,26420,2013,1,5,19,4,38.0,,51.0,-19.0,65.73,1029.0,-14.0,SW,4.0,0.0,0.0,2013-01-05,44.5
26420,26421,2013,1,5,20,4,36.0,,35.0,-20.0,71.16,1029.0,-16.0,SE,2.0,0.0,0.0,2013-01-05,35.5
26421,26422,2013,1,5,21,4,39.0,,158.0,-22.0,70.71,1029.0,-18.0,SE,4.0,0.0,0.0,2013-01-05,98.5
26422,26423,2013,1,5,22,4,136.0,,232.0,-23.0,70.49,1029.0,-19.0,SE,6.0,0.0,0.0,2013-01-05,184.0
26431,26432,2013,1,6,7,4,378.0,,426.0,-26.0,76.26,1029.0,-23.0,cv,1.0,0.0,0.0,2013-01-06,402.0
26432,26433,2013,1,6,8,4,380.0,,486.0,-25.0,76.46,1029.0,-22.0,SE,2.0,0.0,0.0,2013-01-06,433.0
26433,26434,2013,1,6,9,4,394.0,,500.0,-20.0,77.39,1029.0,-17.0,SE,4.0,0.0,0.0,2013-01-06,447.0
26434,26435,2013,1,6,10,4,376.0,,401.0,-18.0,71.6,1029.0,-14.0,cv,0.0,0.0,0.0,2013-01-06,388.5
26435,26436,2013,1,6,11,4,139.0,,450.0,-18.0,60.85,1029.0,-12.0,NE,1.0,0.0,0.0,2013-01-06,294.5
26436,26437,2013,1,6,12,4,82.0,,380.0,-17.0,52.17,1028.0,-9.0,cv,1.0,0.0,0.0,2013-01-06,231.0
26437,26438,2013,1,6,13,4,73.0,,301.0,-17.0,52.17,1027.0,-9.0,SW,2.0,0.0,0.0,2013-01-06,187.0
26438,26439,2013,1,6,14,4,73.0,,55.0,-18.0,44.33,1027.0,-8.0,SW,4.0,0.0,0.0,2013-01-06,64.0
26439,26440,2013,1,6,15,4,62.0,,32.0,-18.0,44.33,1026.0,-8.0,SW,6.0,0.0,0.0,2013-01-06,47.0
26440,26441,2013,1,6,16,4,89.0,,37.0,-18.0,47.93,1026.0,-9.0,cv,1.0,0.0,0.0,2013-01-06,63.0
26441,26442,2013,1,6,17,4,68.0,,49.0,-19.0,51.56,1026.0,-11.0,SE,1.0,0.0,0.0,2013-01-06,58.5
26442,26443,2013,1,6,18,4,50.0,,82.0,-20.0,60.3,1026.0,-14.0,SE,2.0,0.0,0.0,2013-01-06,66.0
26443,26444,2013,1,6,19,4,55.0,,327.0,-20.0,65.48,1026.0,-15.0,SE,3.0,0.0,0.0,2013-01-06,191.0
26444,26445,2013,1,6,20,4,105.0,,453.0,-20.0,65.48,1026.0,-15.0,SE,5.0,0.0,0.0,2013-01-06,279.0
26445,26446,2013,1,6,21,4,273.0,,396.0,-20.0,65.48,1026.0,-15.0,SE,7.0,0.0,0.0,2013-01-06,334.5
26446,26447,2013,1,6,22,4,277.0,,333.0,-21.0,65.23,1026.0,-16.0,SE,9.0,0.0,0.0,2013-01-06,305.0
26447,26448,2013,1,6,23,4,356.0,,424.0,-21.0,65.23,1026.0,-16.0,SE,11.0,0.0,0.0,2013-01-06,390.0
26448,26449,2013,1,7,0,4,499.0,,402.0,-22.0,70.71,1026.0,-18.0,NE,2.0,0.0,0.0,2013-01-07,450.5
26449,26450,2013,1,7,1,4,482.0,,257.0,-23.0,70.49,1025.0,-19.0,NE,4.0,0.0,0.0,2013-01-07,369.5
26450,26451,2013,1,7,2,4,326.0,,184.0,-24.0,70.26,1025.0,-20.0,NE,8.0,0.0,0.0,2013-01-07,255.0
26451,26452,2013,1,7,3,4,249.0,,161.0,-24.0,70.26,1025.0,-20.0,NE,11.0,0.0,0.0,2013-01-07,205.0
26452,26453,2013,1,7,4,4,228.0,,144.0,-24.0,70.26,1025.0,-20.0,NE,16.0,0.0,0.0,2013-01-07,186.0
26453,26454,2013,1,7,5,4,222.0,,138.0,-24.0,70.26,1025.0,-20.0,NE,20.0,0.0,0.0,2013-01-07,180.0
26454,26455,2013,1,7,6,4,214.0,,151.0,-24.0,76.65,1025.0,-21.0,NE,23.0,0.0,0.0,2013-01-07,182.5
26455,26456,2013,1,7,7,4,223.0,,168.0,-24.0,76.65,1025.0,-21.0,NE,28.0,0.0,0.0,2013-01-07,195.5
26456,26457,2013,1,7,8,4,247.0,,211.0,-24.0,70.26,1025.0,-20.0,NE,31.0,0.0,0.0,2013-01-07,229.0
26457,26458,2013,1,7,9,4,298.0,,249.0,-22.0,70.71,1025.0,-18.0,NE,35.0,0.0,0.0,2013-01-07,273.5
26460,26461,2013,1,7,12,4,245.0,,201.0,-16.0,66.47,1025.0,-11.0,NE,43.0,0.0,0.0,2013-01-07,223.0
26461,26462,2013,1,7,13,4,160.0,,230.0,-14.0,66.95,1024.0,-9.0,NW,2.0,0.0,0.0,2013-01-07,195.0
26462,26463,2013,1,7,14,4,161.0,,159.0,-13.0,62.18,1025.0,-7.0,cv,1.0,0.0,0.0,2013-01-07,160.0
26463,26464,2013,1,7,15,4,137.0,,141.0,-14.0,61.92,1025.0,-8.0,cv,2.0,0.0,0.0,2013-01-07,139.0
26464,26465,2013,1,7,16,4,189.0,,155.0,-14.0,61.92,1025.0,-8.0,NW,2.0,0.0,0.0,2013-01-07,172.0
26465,26466,2013,1,7,17,4,241.0,,189.0,-14.0,66.95,1026.0,-9.0,NE,1.0,0.0,0.0,2013-01-07,215.0
26466,26467,2013,1,7,18,4,126.0,,200.0,-16.0,61.39,1026.0,-10.0,NW,2.0,0.0,0.0,2013-01-07,163.0
26468,26469,2013,1,7,20,4,71.0,,115.0,-18.0,65.98,1028.0,-13.0,NW,3.0,0.0,0.0,2013-01-07,93.0
26469,26470,2013,1,7,21,4,67.0,,72.0,-19.0,60.58,1028.0,-13.0,NE,5.0,0.0,0.0,2013-01-07,69.5
26470,26471,2013,1,7,22,4,103.0,,77.0,-20.0,65.48,1029.0,-15.0,NW,3.0,0.0,0.0,2013-01-07,90.0
26471,26472,2013,1,7,23,4,67.0,,73.0,-20.0,65.48,1029.0,-15.0,NE,3.0,0.0,0.0,2013-01-07,70.0
26472,26473,2013,1,8,0,4,64.0,,73.0,-21.0,70.94,1029.0,-17.0,NE,5.0,0.0,0.0,2013-01-08,68.5
26474,26475,2013,1,8,2,4,63.0,,58.0,-23.0,76.84,1030.0,-20.0,SE,1.0,0.0,0.0,2013-01-08,60.5
26475,26476,2013,1,8,3,4,101.0,,89.0,-23.0,76.84,1030.0,-20.0,NE,1.0,0.0,0.0,2013-01-08,95.0
26476,26477,2013,1,8,4,4,107.0,,133.0,-25.0,76.46,1030.0,-22.0,NE,2.0,0.0,0.0,2013-01-08,120.0
26477,26478,2013,1,8,5,4,104.0,,137.0,-25.0,76.46,1030.0,-22.0,NE,3.0,0.0,0.0,2013-01-08,120.5
26478,26479,2013,1,8,6,4,116.0,,165.0,-27.0,76.07,1030.0,-24.0,SE,1.0,0.0,0.0,2013-01-08,140.5
26479,26480,2013,1,8,7,4,121.0,,150.0,-27.0,76.07,1031.0,-24.0,SE,2.0,0.0,0.0,2013-01-08,135.5
26480,26481,2013,1,8,8,4,112.0,,110.0,-27.0,76.07,1032.0,-24.0,SW,1.0,0.0,0.0,2013-01-08,111.0
26482,26483,2013,1,8,10,4,132.0,,107.0,-21.0,77.21,1033.0,-18.0,SW,4.0,0.0,0.0,2013-01-08,119.5
26484,26485,2013,1,8,12,4,71.0,,63.0,-21.0,55.28,1032.0,-14.0,SW,10.0,0.0,0.0,2013-01-08,67.0
26485,26486,2013,1,8,13,4,52.0,,48.0,-21.0,55.28,1031.0,-14.0,NW,3.0,0.0,0.0,2013-01-08,50.0
26486,26487,2013,1,8,14,4,37.0,,32.0,-22.0,46.66,1031.0,-13.0,SW,2.0,0.0,0.0,2013-01-08,34.5
26487,26488,2013,1,8,15,4,31.0,,28.0,-23.0,46.33,1031.0,-14.0,SW,5.0,0.0,0.0,2013-01-08,29.5
26488,26489,2013,1,8,16,4,29.0,,20.0,-23.0,50.31,1031.0,-15.0,SW,7.0,0.0,0.0,2013-01-08,24.5
26490,26491,2013,1,8,18,4,114.0,,162.0,-24.0,59.18,1030.0,-18.0,SW,11.0,0.0,0.0,2013-01-08,138.0
26491,26492,2013,1,8,19,4,123.0,,178.0,-24.0,59.18,1030.0,-18.0,SE,2.0,0.0,0.0,2013-01-08,150.5
26492,26493,2013,1,8,20,4,93.0,,232.0,-23.0,64.72,1030.0,-18.0,SE,4.0,0.0,0.0,2013-01-08,162.5
26493,26494,2013,1,8,21,4,109.0,,117.0,-26.0,69.79,1030.0,-22.0,SE,6.0,0.0,0.0,2013-01-08,113.0
26494,26495,2013,1,8,22,4,123.0,,260.0,-26.0,69.79,1030.0,-22.0,SE,7.0,0.0,0.0,2013-01-08,191.5
26495,26496,2013,1,8,23,4,109.0,,313.0,-26.0,76.26,1030.0,-23.0,SE,9.0,0.0,0.0,2013-01-08,211.0
26496,26497,2013,1,9,0,4,124.0,,263.0,-27.0,76.07,1030.0,-24.0,SE,11.0,0.0,0.0,2013-01-09,193.5
26497,26498,2013,1,9,1,4,151.0,,238.0,-28.0,69.32,1031.0,-24.0,cv,1.0,0.0,0.0,2013-01-09,194.5
26498,26499,2013,1,9,2,4,173.0,,214.0,-28.0,75.87,1031.0,-25.0,SE,2.0,0.0,0.0,2013-01-09,193.5
26499,26500,2013,1,9,3,4,152.0,,232.0,-28.0,75.87,1030.0,-25.0,SE,3.0,0.0,0.0,2013-01-09,192.0
26500,26501,2013,1,9,4,4,87.0,,218.0,-29.0,69.08,1030.0,-25.0,SE,4.0,0.0,0.0,2013-01-09,152.5
26506,26507,2013,1,9,10,4,154.0,,422.0,-23.0,64.72,1030.0,-18.0,SW,2.0,0.0,0.0,2013-01-09,288.0
26507,26508,2013,1,9,11,4,118.0,,233.0,-22.0,59.74,1029.0,-16.0,SW,4.0,0.0,0.0,2013-01-09,175.5
26509,26510,2013,1,9,13,4,56.0,,61.0,-23.0,42.7,1028.0,-13.0,SW,10.0,0.0,0.0,2013-01-09,58.5
26511,26512,2013,1,9,15,4,50.0,,33.0,-23.0,39.38,1028.0,-12.0,SW,14.0,0.0,0.0,2013-01-09,41.5
26512,26513,2013,1,9,16,4,49.0,,40.0,-23.0,39.38,1028.0,-12.0,SW,16.0,0.0,0.0,2013-01-09,44.5
26515,26516,2013,1,9,19,4,67.0,,140.0,-24.0,50.0,1028.0,-16.0,SE,6.0,0.0,0.0,2013-01-09,103.5
26516,26517,2013,1,9,20,4,82.0,,230.0,-25.0,54.07,1028.0,-18.0,SE,8.0,0.0,0.0,2013-01-09,156.0
26517,26518,2013,1,9,21,4,107.0,,312.0,-26.0,58.6,1028.0,-20.0,SE,10.0,0.0,0.0,2013-01-09,209.5
26518,26519,2013,1,9,22,4,152.0,,302.0,-27.0,58.31,1029.0,-21.0,SE,12.0,0.0,0.0,2013-01-09,227.0
26519,26520,2013,1,9,23,4,169.0,,274.0,-26.0,69.79,1029.0,-22.0,SE,14.0,0.0,0.0,2013-01-09,221.5
26520,26521,2013,1,10,0,4,184.0,,242.0,-27.0,63.66,1029.0,-22.0,SE,15.0,0.0,0.0,2013-01-10,213.0
26521,26522,2013,1,10,1,4,168.0,,193.0,-27.0,69.56,1029.0,-23.0,cv,1.0,0.0,0.0,2013-01-10,180.5
26522,26523,2013,1,10,2,4,180.0,,211.0,-26.0,69.79,1029.0,-22.0,cv,1.0,0.0,0.0,2013-01-10,195.5
26523,26524,2013,1,10,3,4,258.0,,235.0,-27.0,63.66,1029.0,-22.0,NE,3.0,0.0,0.0,2013-01-10,246.5
26524,26525,2013,1,10,4,4,286.0,,241.0,-26.0,69.79,1028.0,-22.0,SE,1.0,0.0,0.0,2013-01-10,263.5
26525,26526,2013,1,10,5,4,363.0,,245.0,-24.0,64.46,1028.0,-19.0,SE,4.0,0.0,0.0,2013-01-10,304.0
26526,26527,2013,1,10,6,4,373.0,,253.0,-27.0,69.56,1029.0,-23.0,NE,6.0,0.0,0.0,2013-01-10,313.0
26528,26529,2013,1,10,8,4,384.0,,290.0,-27.0,69.56,1030.0,-23.0,NE,14.0,0.0,0.0,2013-01-10,337.0
26529,26530,2013,1,10,9,4,412.0,,329.0,-25.0,70.03,1030.0,-21.0,NE,18.0,0.0,0.0,2013-01-10,370.5
26530,26531,2013,1,10,10,4,321.0,,312.0,-22.0,64.97,1030.0,-17.0,NE,21.0,0.0,0.0,2013-01-10,316.5
