,No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
26324,26325,2013,1,1,20,4,110.0,118.0,126.0,-3.0,64.66,1023.0,3.0,SE,1.0,0.0,0.0,2013-01-01,118.0
26325,26326,2013,1,1,21,4,101.0,125.0,125.0,-2.0,64.9,1023.0,4.0,SE,2.0,0.0,0.0,2013-01-01,113.0
26326,26327,2013,1,1,22,4,93.0,136.0,114.0,-3.0,69.43,1024.0,2.0,cv,0.0,0.0,0.0,2013-01-01,103.5
26327,26328,2013,1,1,23,4,78.0,114.0,98.0,-3.0,74.59,1024.0,1.0,NE,1.0,0.0,0.0,2013-01-01,88.0
26328,26329,2013,1,2,0,4,81.0,91.0,85.0,-3.0,69.43,1024.0,2.0,NE,3.0,0.0,0.0,2013-01-02,83.0
26330,26331,2013,1,2,2,4,91.0,89.0,63.0,-2.0,86.37,1024.0,0.0,NE,6.0,0.0,0.0,2013-01-02,77.0
26331,26332,2013,1,2,3,4,77.0,80.0,61.0,-3.0,74.59,1025.0,1.0,NE,8.0,0.0,0.0,2013-01-02,69.0
26332,26333,2013,1,2,4,4,77.0,81.0,64.0,-3.0,80.19,1025.0,0.0,NE,11.0,0.0,0.0,2013-01-02,70.5
26333,26334,2013,1,2,5,4,78.0,81.0,72.0,0.0,80.63,1025.0,3.0,NE,15.0,0.0,0.0,2013-01-02,75.0
26334,26335,2013,1,2,6,4,79.0,90.0,78.0,0.0,80.63,1025.0,3.0,NE,20.0,0.0,0.0,2013-01-02,78.5
26335,26336,2013,1,2,7,4,79.0,78.0,74.0,0.0,75.14,1026.0,4.0,NE,25.0,0.0,0.0,2013-01-02,76.5
26336,26337,2013,1,2,8,4,96.0,92.0,82.0,0.0,70.06,1028.0,5.0,NE,30.0,0.0,0.0,2013-01-02,89.0
26337,26338,2013,1,2,9,4,104.0,112.0,99.0,1.0,70.27,1028.0,6.0,NE,37.0,0.0,0.0,2013-01-02,101.5
26339,26340,2013,1,2,11,4,60.0,67.0,62.0,0.0,61.01,1029.0,7.0,NE,54.0,0.0,0.0,2013-01-02,61.0
26340,26341,2013,1,2,12,4,34.0,45.0,43.0,-1.0,56.72,1030.0,7.0,NE,62.0,0.0,0.0,2013-01-02,38.5
26341,26342,2013,1,2,13,4,18.0,28.0,24.0,-2.0,52.7,1029.0,7.0,NE,71.0,0.0,0.0,2013-01-02,21.0
26342,26343,2013,1,2,14,4,21.0,24.0,23.0,-2.0,56.45,1031.0,6.0,NE,80.0,0.0,0.0,2013-01-02,22.0
26343,26344,2013,1,2,15,4,23.0,36.0,21.0,-2.0,60.51,1031.0,5.0,NE,90.0,0.0,0.0,2013-01-02,22.0
26344,26345,2013,1,2,16,4,23.0,29.0,21.0,-3.0,60.25,1031.0,4.0,NE,101.0,0.0,0.0,2013-01-02,22.0
26345,26346,2013,1,2,17,4,21.0,34.0,22.0,-4.0,60.0,1033.0,3.0,NE,111.0,0.0,0.0,2013-01-02,21.5
26346,26347,2013,1,2,18,4,25.0,32.0,23.0,-5.0,59.74,1035.0,2.0,NE,119.0,0.0,0.0,2013-01-02,24.0
26347,26348,2013,1,2,19,4,19.0,32.0,21.0,-6.0,59.48,1036.0,1.0,NE,128.0,0.0,0.0,2013-01-02,20.0
26348,26349,2013,1,2,20,4,14.0,25.0,16.0,-6.0,59.48,1037.0,1.0,NE,136.0,0.0,0.0,2013-01-02,15.0
26350,26351,2013,1,2,22,4,14.0,17.0,16.0,-6.0,63.94,1038.0,0.0,NE,150.0,0.0,0.0,2013-01-02,15.0
26351,26352,2013,1,2,23,4,16.0,20.0,16.0,-6.0,63.94,1038.0,0.0,NE,159.0,0.0,0.0,2013-01-02,16.0
26352,26353,2013,1,3,0,4,18.0,21.0,13.0,-6.0,63.94,1039.0,0.0,NE,167.0,0.0,0.0,2013-01-03,15.5
26353,26354,2013,1,3,1,4,17.0,20.0,11.0,-7.0,63.69,1039.0,-1.0,NE,174.0,0.0,0.0,2013-01-03,14.0
26354,26355,2013,1,3,2,4,17.0,27.0,17.0,-6.0,68.78,1038.0,-1.0,NE,180.0,0.0,0.0,2013-01-03,17.0
26355,26356,2013,1,3,3,4,21.0,25.0,15.0,-6.0,68.78,1039.0,-1.0,NW,5.0,0.0,0.0,2013-01-03,18.0
26356,26357,2013,1,3,4,4,24.0,32.0,19.0,-6.0,74.03,1039.0,-2.0,NW,11.0,0.0,0.0,2013-01-03,21.5
26357,26358,2013,1,3,5,4,30.0,33.0,25.0,-6.0,74.03,1039.0,-2.0,NW,16.0,0.0,0.0,2013-01-03,27.5
26358,26359,2013,1,3,6,4,32.0,39.0,32.0,-6.0,74.03,1039.0,-2.0,NW,22.0,0.0,0.0,2013-01-03,32.0
26359,26360,2013,1,3,7,4,36.0,46.0,35.0,-6.0,74.03,1039.0,-2.0,NW,28.0,0.0,0.0,2013-01-03,35.5
26360,26361,2013,1,3,8,4,40.0,51.0,37.0,-5.0,79.89,1040.0,-2.0,NW,34.0,0.0,0.0,2013-01-03,38.5
26361,26362,2013,1,3,9,4,45.0,52.0,44.0,-5.0,79.89,1040.0,-2.0,NW,40.0,0.0,0.0,2013-01-03,44.5
26362,26363,2013,1,3,10,4,50.0,59.0,47.0,-4.0,80.04,1040.0,-1.0,NW,45.0,0.0,0.0,2013-01-03,48.5
26363,26364,2013,1,3,11,4,55.0,60.0,49.0,-5.0,74.22,1040.0,-1.0,NW,51.0,0.0,0.0,2013-01-03,52.0
26364,26365,2013,1,3,12,4,58.0,62.0,52.0,-4.0,74.41,1039.0,0.0,NW,57.0,0.0,0.0,2013-01-03,55.0
26365,26366,2013,1,3,13,4,51.0,63.0,47.0,-5.0,69.0,1038.0,0.0,NE,6.0,0.0,0.0,2013-01-03,49.0
26366,26367,2013,1,3,14,4,43.0,50.0,48.0,-5.0,69.0,1038.0,0.0,NE,11.0,0.0,0.0,2013-01-03,45.5
26367,26368,2013,1,3,15,4,42.0,52.0,41.0,-4.0,74.41,1038.0,0.0,NE,16.0,0.0,0.0,2013-01-03,41.5
26368,26369,2013,1,3,16,4,46.0,55.0,36.0,-4.0,74.41,1038.0,0.0,NE,22.0,0.0,0.0,2013-01-03,41.0
26369,26370,2013,1,3,17,4,46.0,48.0,38.0,-4.0,74.41,1038.0,0.0,NE,28.0,0.0,0.0,2013-01-03,42.0
26370,26371,2013,1,3,18,4,49.0,53.0,39.0,-4.0,74.41,1038.0,0.0,NE,34.0,0.0,0.0,2013-01-03,44.0
26371,26372,2013,1,3,19,4,52.0,58.0,41.0,-3.0,80.19,1038.0,0.0,NE,39.0,0.0,0.0,2013-01-03,46.5
26372,26373,2013,1,3,20,4,48.0,49.0,41.0,-3.0,80.19,1038.0,0.0,NE,44.0,0.0,0.0,2013-01-03,44.5
26373,26374,2013,1,3,21,4,45.0,52.0,47.0,-3.0,80.19,1038.0,0.0,NE,49.0,0.0,0.0,2013-01-03,46.0
26374,26375,2013,1,3,22,4,55.0,49.0,43.0,-4.0,74.41,1037.0,0.0,NE,55.0,0.0,0.0,2013-01-03,49.0
26375,26376,2013,1,3,23,4,44.0,45.0,44.0,-4.0,74.41,1037.0,0.0,NE,61.0,0.0,0.0,2013-01-03,44.0
26376,26377,2013,1,4,0,4,36.0,45.0,33.0,-4.0,74.41,1036.0,0.0,NE,68.0,0.0,0.0,2013-01-04,34.5
26377,26378,2013,1,4,1,4,37.0,38.0,32.0,-4.0,74.41,1036.0,0.0,NE,73.0,0.0,0.0,2013-01-04,34.5
26378,26379,2013,1,4,2,4,41.0,38.0,30.0,-4.0,80.04,1035.0,-1.0,NE,79.0,0.0,0.0,2013-01-04,35.5
26379,26380,2013,1,4,3,4,31.0,37.0,28.0,-4.0,80.04,1035.0,-1.0,NE,85.0,0.0,0.0,2013-01-04,29.5
26380,26381,2013,1,4,4,4,34.0,37.0,28.0,-4.0,80.04,1034.0,-1.0,NE,91.0,0.0,0.0,2013-01-04,31.0
26381,26382,2013,1,4,5,4,42.0,44.0,32.0,-4.0,80.04,1035.0,-1.0,NE,95.0,0.0,0.0,2013-01-04,37.0
26382,26383,2013,1,4,6,4,54.0,47.0,38.0,-4.0,80.04,1034.0,-1.0,NE,100.0,0.0,0.0,2013-01-04,46.0
26383,26384,2013,1,4,7,4,53.0,51.0,44.0,-4.0,80.04,1034.0,-1.0,NE,104.0,0.0,0.0,2013-01-04,48.5
26384,26385,2013,1,4,8,4,53.0,66.0,51.0,-4.0,80.04,1034.0,-1.0,NE,109.0,0.0,0.0,2013-01-04,52.0
26385,26386,2013,1,4,9,4,58.0,68.0,55.0,-4.0,74.41,1033.0,0.0,NE,113.0,0.0,0.0,2013-01-04,56.5
26386,26387,2013,1,4,10,4,56.0,63.0,59.0,-4.0,69.21,1033.0,1.0,NE,116.0,0.0,0.0,2013-01-04,57.5
26387,26388,2013,1,4,11,4,46.0,51.0,52.0,-4.0,64.42,1032.0,2.0,NE,119.0,0.0,0.0,2013-01-04,49.0
26388,26389,2013,1,4,12,4,53.0,52.0,51.0,-3.0,69.43,1032.0,2.0,NW,3.0,0.0,0.0,2013-01-04,52.0
26389,26390,2013,1,4,13,4,54.0,55.0,55.0,-3.0,64.66,1030.0,3.0,NE,3.0,0.0,0.0,2013-01-04,54.5
26390,26391,2013,1,4,14,4,53.0,57.0,50.0,-3.0,64.66,1029.0,3.0,NE,7.0,0.0,0.0,2013-01-04,51.5
26391,26392,2013,1,4,15,4,52.0,57.0,51.0,-3.0,64.66,1029.0,3.0,NE,10.0,0.0,0.0,2013-01-04,51.5
26392,26393,2013,1,4,16,4,47.0,54.0,46.0,-2.0,74.78,1029.0,2.0,NE,14.0,0.0,0.0,2013-01-04,46.5
26393,26394,2013,1,4,17,4,47.0,49.0,55.0,-1.0,86.47,1029.0,1.0,NE,19.0,0.1,0.1,2013-01-04,51.0
26394,26395,2013,1,4,18,4,49.0,52.0,54.0,0.0,93.02,1029.0,1.0,NE,23.0,0.2,0.3,2013-01-04,51.5
26395,26396,2013,1,4,19,4,36.0,45.0,46.0,0.0,93.02,1029.0,1.0,NE,26.0,0.1,0.4,2013-01-04,41.0
26396,26397,2013,1,4,20,4,35.0,40.0,36.0,0.0,93.02,1029.0,1.0,NE,29.0,0.1,0.5,2013-01-04,35.5
26397,26398,2013,1,4,21,4,40.0,42.0,36.0,0.0,93.02,1029.0,1.0,NW,2.0,0.0,0.0,2013-01-04,38.0
26398,26399,2013,1,4,22,4,46.0,43.0,44.0,-1.0,86.47,1028.0,1.0,NE,2.0,0.1,0.1,2013-01-04,45.0
26399,26400,2013,1,4,23,4,56.0,51.0,44.0,0.0,93.02,1028.0,1.0,NW,2.0,0.1,0.2,2013-01-04,50.0
26400,26401,2013,1,5,0,4,54.0,62.0,49.0,-1.0,92.96,1028.0,0.0,NW,5.0,0.1,0.3,2013-01-05,51.5
26401,26402,2013,1,5,1,4,49.0,59.0,47.0,0.0,100.0,1028.0,0.0,NW,8.0,0.0,0.0,2013-01-05,48.0
26402,26403,2013,1,5,2,4,54.0,58.0,45.0,0.0,100.0,1028.0,0.0,NE,3.0,0.1,0.1,2013-01-05,49.5
26403,26404,2013,1,5,3,4,54.0,58.0,43.0,0.0,93.02,1028.0,1.0,NE,6.0,0.0,0.0,2013-01-05,48.5
26404,26405,2013,1,5,4,4,45.0,51.0,43.0,0.0,93.02,1027.0,1.0,NE,10.0,0.0,0.0,2013-01-05,44.0
26405,26406,2013,1,5,5,4,39.0,47.0,41.0,0.0,93.02,1027.0,1.0,NE,14.0,0.0,0.0,2013-01-05,40.0
26408,26409,2013,1,5,8,4,44.0,50.0,41.0,-1.0,86.47,1028.0,1.0,NE,26.0,0.0,0.0,2013-01-05,42.5
26410,26411,2013,1,5,10,4,46.0,44.0,42.0,-1.0,86.47,1028.0,1.0,NE,34.0,0.0,0.0,2013-01-05,44.0
26411,26412,2013,1,5,11,4,50.0,42.0,46.0,-1.0,80.49,1029.0,2.0,NE,37.0,0.0,0.0,2013-01-05,48.0
26412,26413,2013,1,5,12,4,60.0,62.0,53.0,-1.0,74.96,1028.0,3.0,NE,41.0,0.0,0.0,2013-01-05,56.5
26413,26414,2013,1,5,13,4,46.0,65.0,50.0,0.0,75.14,1027.0,4.0,NE,45.0,0.0,0.0,2013-01-05,48.0
26414,26415,2013,1,5,14,4,43.0,49.0,42.0,-2.0,64.9,1026.0,4.0,NE,49.0,0.0,0.0,2013-01-05,42.5
26415,26416,2013,1,5,15,4,57.0,64.0,49.0,-2.0,64.9,1026.0,4.0,NE,53.0,0.0,0.0,2013-01-05,53.0
26416,26417,2013,1,5,16,4,62.0,76.0,59.0,-2.0,69.64,1026.0,3.0,NE,58.0,0.0,0.0,2013-01-05,60.5
26417,26418,2013,1,5,17,4,63.0,73.0,62.0,-2.0,69.64,1026.0,3.0,NE,62.0,0.0,0.0,2013-01-05,62.5
26418,26419,2013,1,5,18,4,54.0,59.0,61.0,-2.0,69.64,1027.0,3.0,NE,65.0,0.0,0.0,2013-01-05,57.5
26419,26420,2013,1,5,19,4,42.0,54.0,56.0,-2.0,69.64,1027.0,3.0,NE,69.0,0.0,0.0,2013-01-05,49.0
26420,26421,2013,1,5,20,4,35.0,51.0,44.0,-2.0,69.64,1028.0,3.0,NE,73.0,0.0,0.0,2013-01-05,39.5
26421,26422,2013,1,5,21,4,29.0,47.0,38.0,-3.0,64.66,1028.0,3.0,NE,77.0,0.0,0.0,2013-01-05,33.5
26422,26423,2013,1,5,22,4,30.0,40.0,30.0,-3.0,64.66,1027.0,3.0,NE,81.0,0.0,0.0,2013-01-05,30.0
26432,26433,2013,1,6,8,4,73.0,73.0,69.0,-2.0,80.34,1028.0,1.0,NE,3.0,0.0,0.0,2013-01-06,71.0
26433,26434,2013,1,6,9,4,76.0,74.0,78.0,-2.0,74.78,1028.0,2.0,NE,5.0,0.0,0.0,2013-01-06,77.0
26434,26435,2013,1,6,10,4,91.0,80.0,80.0,-1.0,80.49,1029.0,2.0,NW,4.0,0.0,0.0,2013-01-06,85.5
26435,26436,2013,1,6,11,4,95.0,100.0,91.0,-3.0,69.43,1029.0,2.0,NW,8.0,0.0,0.0,2013-01-06,93.0
26436,26437,2013,1,6,12,4,68.0,82.0,49.0,-4.0,64.42,1027.0,2.0,NW,12.0,0.0,0.0,2013-01-06,58.5
26437,26438,2013,1,6,13,4,83.0,76.0,9.0,-5.0,59.74,1027.0,2.0,NW,15.0,0.0,0.0,2013-01-06,46.0
26438,26439,2013,1,6,14,4,101.0,102.0,79.0,-5.0,55.63,1026.0,3.0,NW,19.0,0.0,0.0,2013-01-06,90.0
26440,26441,2013,1,6,16,4,104.0,107.0,90.0,-5.0,55.63,1026.0,3.0,NE,3.0,0.0,0.0,2013-01-06,97.0
26441,26442,2013,1,6,17,4,107.0,112.0,92.0,-6.0,51.56,1026.0,3.0,NE,6.0,0.0,0.0,2013-01-06,99.5
26442,26443,2013,1,6,18,4,99.0,105.0,100.0,-6.0,51.56,1026.0,3.0,NE,9.0,0.0,0.0,2013-01-06,99.5
26443,26444,2013,1,6,19,4,107.0,115.0,104.0,-5.0,55.63,1027.0,3.0,NE,11.0,0.0,0.0,2013-01-06,105.5
26444,26445,2013,1,6,20,4,116.0,110.0,104.0,-4.0,60.0,1027.0,3.0,NW,2.0,0.0,0.0,2013-01-06,110.0
26445,26446,2013,1,6,21,4,116.0,118.0,108.0,-4.0,60.0,1027.0,3.0,NW,5.0,0.0,0.0,2013-01-06,112.0
26446,26447,2013,1,6,22,4,94.0,94.0,100.0,-3.0,64.66,1026.0,3.0,NE,2.0,0.0,0.0,2013-01-06,97.0
26447,26448,2013,1,6,23,4,94.0,100.0,86.0,-2.0,69.64,1026.0,3.0,NE,5.0,0.0,0.0,2013-01-06,90.0
26448,26449,2013,1,7,0,4,106.0,99.0,88.0,-2.0,69.64,1026.0,3.0,NW,2.0,0.0,0.0,2013-01-07,97.0
26449,26450,2013,1,7,1,4,120.0,116.0,107.0,-2.0,69.64,1026.0,3.0,NW,5.0,0.0,0.0,2013-01-07,113.5
26450,26451,2013,1,7,2,4,116.0,128.0,111.0,-2.0,74.78,1026.0,2.0,NW,8.0,0.0,0.0,2013-01-07,113.5
26451,26452,2013,1,7,3,4,126.0,128.0,115.0,-1.0,80.49,1026.0,2.0,NW,11.0,0.1,0.1,2013-01-07,120.5
26452,26453,2013,1,7,4,4,138.0,138.0,123.0,-1.0,80.49,1026.0,2.0,NW,13.0,0.0,0.0,2013-01-07,130.5
26453,26454,2013,1,7,5,4,147.0,147.0,130.0,-1.0,80.49,1025.0,2.0,NE,3.0,0.0,0.0,2013-01-07,138.5
26454,26455,2013,1,7,6,4,140.0,146.0,137.0,-1.0,80.49,1026.0,2.0,NE,6.0,0.0,0.0,2013-01-07,138.5
26455,26456,2013,1,7,7,4,134.0,138.0,131.0,-1.0,80.49,1026.0,2.0,NE,9.0,0.0,0.0,2013-01-07,132.5
26456,26457,2013,1,7,8,4,114.0,124.0,125.0,-1.0,80.49,1026.0,2.0,NE,10.0,0.0,0.0,2013-01-07,119.5
26457,26458,2013,1,7,9,4,111.0,123.0,130.0,-1.0,74.96,1026.0,3.0,cv,1.0,0.1,0.1,2013-01-07,120.5
26460,26461,2013,1,7,12,4,125.0,,174.0,1.0,93.08,1025.0,2.0,SW,6.0,0.2,0.7,2013-01-07,149.5
26461,26462,2013,1,7,13,4,101.0,121.0,157.0,0.0,86.58,1024.0,2.0,NW,3.0,0.0,0.0,2013-01-07,129.0
26462,26463,2013,1,7,14,4,3.0,135.0,139.0,1.0,93.08,1024.0,2.0,NW,5.0,0.1,0.1,2013-01-07,71.0
26463,26464,2013,1,7,15,4,114.0,164.0,160.0,1.0,93.08,1024.0,2.0,NW,7.0,0.0,0.0,2013-01-07,137.0
26464,26465,2013,1,7,16,4,140.0,154.0,142.0,0.0,86.58,1024.0,2.0,NE,3.0,0.0,0.0,2013-01-07,141.0
26465,26466,2013,1,7,17,4,126.0,139.0,133.0,0.0,86.58,1024.0,2.0,cv,0.0,0.0,0.0,2013-01-07,129.5
26466,26467,2013,1,7,18,4,137.0,143.0,140.0,0.0,86.58,1024.0,2.0,cv,1.0,0.0,0.0,2013-01-07,138.5
26468,26469,2013,1,7,20,4,152.0,177.0,173.0,0.0,86.58,1025.0,2.0,NW,3.0,0.0,0.0,2013-01-07,162.5
26469,26470,2013,1,7,21,4,169.0,169.0,199.0,1.0,93.08,1025.0,2.0,NW,5.0,0.0,0.0,2013-01-07,184.0
26470,26471,2013,1,7,22,4,217.0,198.0,216.0,1.0,93.08,1025.0,2.0,NW,7.0,0.0,0.0,2013-01-07,216.5
26471,26472,2013,1,7,23,4,221.0,244.0,223.0,1.0,93.08,1025.0,2.0,NW,9.0,0.0,0.0,2013-01-07,222.0
26472,26473,2013,1,8,0,4,221.0,251.0,216.0,1.0,93.08,1025.0,2.0,NW,12.0,0.0,0.0,2013-01-08,218.5
26474,26475,2013,1,8,2,4,140.0,165.0,196.0,-1.0,80.49,1025.0,2.0,NW,19.0,0.0,0.0,2013-01-08,168.0
26475,26476,2013,1,8,3,4,141.0,150.0,160.0,-1.0,80.49,1025.0,2.0,NW,22.0,0.0,0.0,2013-01-08,150.5
26476,26477,2013,1,8,4,4,148.0,166.0,154.0,-2.0,74.78,1024.0,2.0,NW,25.0,0.0,0.0,2013-01-08,151.0
26477,26478,2013,1,8,5,4,154.0,171.0,163.0,-3.0,69.43,1025.0,2.0,NW,27.0,0.0,0.0,2013-01-08,158.5
26478,26479,2013,1,8,6,4,160.0,182.0,175.0,-4.0,64.42,1025.0,2.0,NW,30.0,0.0,0.0,2013-01-08,167.5
26479,26480,2013,1,8,7,4,160.0,181.0,172.0,-4.0,64.42,1026.0,2.0,NW,33.0,0.0,0.0,2013-01-08,166.0
26480,26481,2013,1,8,8,4,148.0,173.0,157.0,-3.0,69.43,1026.0,2.0,NW,36.0,0.0,0.0,2013-01-08,152.5
26482,26483,2013,1,8,10,4,102.0,107.0,114.0,-1.0,69.85,1026.0,4.0,NE,8.0,0.0,0.0,2013-01-08,108.0
26484,26485,2013,1,8,12,4,99.0,104.0,110.0,-2.0,52.7,1025.0,7.0,NE,15.0,0.0,0.0,2013-01-08,104.5
26485,26486,2013,1,8,13,4,91.0,104.0,92.0,-2.0,49.22,1024.0,8.0,NE,18.0,0.0,0.0,2013-01-08,91.5
26486,26487,2013,1,8,14,4,92.0,101.0,97.0,-1.0,52.98,1024.0,8.0,NE,21.0,0.0,0.0,2013-01-08,94.5
26487,26488,2013,1,8,15,4,90.0,103.0,104.0,0.0,56.99,1024.0,8.0,NE,25.0,0.0,0.0,2013-01-08,97.0
26488,26489,2013,1,8,16,4,76.0,95.0,90.0,1.0,65.59,1024.0,7.0,NE,30.0,0.0,0.0,2013-01-08,83.0
26490,26491,2013,1,8,18,4,49.0,57.0,53.0,1.0,70.27,1025.0,6.0,NE,40.0,0.0,0.0,2013-01-08,51.0
26491,26492,2013,1,8,19,4,56.0,60.0,56.0,0.0,70.06,1025.0,5.0,NE,44.0,0.0,0.0,2013-01-08,56.0
26492,26493,2013,1,8,20,4,51.0,70.0,59.0,0.0,70.06,1026.0,5.0,NE,48.0,0.0,0.0,2013-01-08,55.0
26493,26494,2013,1,8,21,4,50.0,59.0,48.0,0.0,75.14,1026.0,4.0,NE,52.0,0.0,0.0,2013-01-08,49.0
26494,26495,2013,1,8,22,4,67.0,57.0,60.0,0.0,75.14,1026.0,4.0,NE,56.0,0.0,0.0,2013-01-08,63.5
26495,26496,2013,1,8,23,4,68.0,80.0,71.0,0.0,75.14,1027.0,4.0,NE,59.0,0.0,0.0,2013-01-08,69.5
26496,26497,2013,1,9,0,4,71.0,88.0,77.0,0.0,75.14,1027.0,4.0,NE,63.0,0.0,0.0,2013-01-09,74.0
26497,26498,2013,1,9,1,4,69.0,89.0,77.0,1.0,80.78,1027.0,4.0,NE,67.0,0.0,0.0,2013-01-09,73.0
26498,26499,2013,1,9,2,4,67.0,86.0,71.0,1.0,80.78,1028.0,4.0,NE,70.0,0.0,0.0,2013-01-09,69.0
26499,26500,2013,1,9,3,4,73.0,74.0,76.0,0.0,80.63,1028.0,3.0,NW,3.0,0.0,0.0,2013-01-09,74.5
26500,26501,2013,1,9,4,4,70.0,95.0,76.0,0.0,80.63,1028.0,3.0,NE,5.0,0.0,0.0,2013-01-09,73.0
26501,26502,2013,1,9,5,4,74.0,83.0,73.0,-1.0,74.96,1027.0,3.0,NE,10.0,0.0,0.0,2013-01-09,73.5
26502,26503,2013,1,9,6,4,62.0,61.0,72.0,-2.0,69.64,1028.0,3.0,NE,14.0,0.0,0.0,2013-01-09,67.0
26503,26504,2013,1,9,7,4,63.0,72.0,67.0,-2.0,74.78,1029.0,2.0,NE,17.0,0.0,0.0,2013-01-09,65.0
26505,26506,2013,1,9,9,4,114.0,,114.0,-2.0,60.51,1029.0,5.0,NE,26.0,0.0,0.0,2013-01-09,114.0
26506,26507,2013,1,9,10,4,131.0,146.0,133.0,-1.0,60.76,1029.0,6.0,NE,32.0,0.0,0.0,2013-01-09,132.0
26507,26508,2013,1,9,11,4,131.0,153.0,144.0,0.0,65.36,1029.0,6.0,NE,37.0,0.0,0.0,2013-01-09,137.5
26509,26510,2013,1,9,13,4,127.0,153.0,142.0,-1.0,56.72,1027.0,7.0,NE,46.0,0.0,0.0,2013-01-09,134.5
26511,26512,2013,1,9,15,4,108.0,132.0,130.0,-2.0,52.7,1027.0,7.0,NE,55.0,0.0,0.0,2013-01-09,119.0
26512,26513,2013,1,9,16,4,97.0,120.0,109.0,-1.0,60.76,1028.0,6.0,NE,61.0,0.0,0.0,2013-01-09,103.0
26515,26516,2013,1,9,19,4,87.0,109.0,96.0,-2.0,69.64,1029.0,3.0,NE,79.0,0.0,0.0,2013-01-09,91.5
26516,26517,2013,1,9,20,4,79.0,104.0,84.0,-3.0,64.66,1030.0,3.0,NE,84.0,0.0,0.0,2013-01-09,81.5
26517,26518,2013,1,9,21,4,69.0,90.0,74.0,-2.0,69.64,1030.0,3.0,NE,88.0,0.0,0.0,2013-01-09,71.5
26518,26519,2013,1,9,22,4,56.0,78.0,65.0,-3.0,69.43,1030.0,2.0,NE,93.0,0.0,0.0,2013-01-09,60.5
26519,26520,2013,1,9,23,4,52.0,70.0,59.0,-3.0,74.59,1030.0,1.0,NE,97.0,0.0,0.0,2013-01-09,55.5
26520,26521,2013,1,10,0,4,48.0,50.0,52.0,-3.0,80.19,1030.0,0.0,NE,100.0,0.0,0.0,2013-01-10,50.0
26521,26522,2013,1,10,1,4,44.0,57.0,50.0,-3.0,86.26,1030.0,-1.0,NE,104.0,0.0,0.0,2013-01-10,47.0
26522,26523,2013,1,10,2,4,45.0,57.0,52.0,-4.0,80.04,1031.0,-1.0,NE,107.0,0.0,0.0,2013-01-10,48.5
